"filename", "language", "C++", "JSON", "HTML", "Dart", "Markdown", "Swift", "XML", "YAML", "comment", "blank", "total"
"c:\Users\DeRep\my_app\Frontend\windows\analysis_options.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 3, 22, 4, 29
"c:\Users\DeRep\my_app\Frontend\windows\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 7, 0, 0, 2, 4, 13
"c:\Users\DeRep\my_app\Frontend\windows\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"c:\Users\DeRep\my_app\Frontend\windows\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 122, 0, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Users\DeRep\my_app\Frontend\windows\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\DeRep\my_app\Frontend\windows\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 3, 0, 0, 0, 0, 2, 5
"c:\Users\DeRep\my_app\Frontend\windows\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 36, 0, 1, 1, 38
"c:\Users\DeRep\my_app\Frontend\windows\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 25, 0, 1, 1, 27
"c:\Users\DeRep\my_app\Frontend\windows\ios\Runner\Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\DeRep\my_app\Frontend\windows\lib\main.dart", "Dart", 0, 0, 0, 60, 0, 0, 0, 0, 54, 12, 126
"c:\Users\DeRep\my_app\Frontend\windows\linux\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\DeRep\my_app\Frontend\windows\linux\my_application.cc", "C++", 74, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"c:\Users\DeRep\my_app\Frontend\windows\linux\my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\DeRep\my_app\Frontend\windows\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 7, 0, 0, 2, 4, 13
"c:\Users\DeRep\my_app\Frontend\windows\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"c:\Users\DeRep\my_app\Frontend\windows\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 68, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\DeRep\my_app\Frontend\windows\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 343, 0, 0, 1, 344
"c:\Users\DeRep\my_app\Frontend\windows\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 4, 16
"c:\Users\DeRep\my_app\Frontend\windows\pubspec.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 16, 60, 15, 91
"c:\Users\DeRep\my_app\Frontend\windows\runner\flutter_window.cpp", "C++", 49, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"c:\Users\DeRep\my_app\Frontend\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\DeRep\my_app\Frontend\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\DeRep\my_app\Frontend\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\DeRep\my_app\Frontend\windows\runner\utils.cpp", "C++", 54, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\Users\DeRep\my_app\Frontend\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\DeRep\my_app\Frontend\windows\runner\win32_window.cpp", "C++", 210, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\Users\DeRep\my_app\Frontend\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"c:\Users\DeRep\my_app\Frontend\windows\test\widget_test.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 10, 7, 31
"c:\Users\DeRep\my_app\Frontend\windows\web\index.html", "HTML", 0, 0, 38, 0, 0, 0, 0, 0, 16, 6, 60
"c:\Users\DeRep\my_app\Frontend\windows\web\manifest.json", "JSON", 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\DeRep\my_app\Frontend\windows\windows\runner\flutter_window.cpp", "C++", 49, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"c:\Users\DeRep\my_app\Frontend\windows\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\DeRep\my_app\Frontend\windows\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\DeRep\my_app\Frontend\windows\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\DeRep\my_app\Frontend\windows\windows\runner\utils.cpp", "C++", 54, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\Users\DeRep\my_app\Frontend\windows\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\DeRep\my_app\Frontend\windows\windows\runner\win32_window.cpp", "C++", 210, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\Users\DeRep\my_app\Frontend\windows\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 1030, 496, 76, 3966, 16, 92, 808, 79, 902, 937, 8402
